,Title,image_url
0,Toy Story (1995),https://liangfgithub.github.io/MovieImages/1.jpg
1,Toy Story 2 (1999),https://liangfgithub.github.io/MovieImages/3114.jpg
2,"Bug's Life, A (1998)",https://liangfgithub.github.io/MovieImages/2355.jpg
3,Who Framed Roger Rabbit? (1988),https://liangfgithub.github.io/MovieImages/2987.jpg
4,"Wrong Trousers, The (1993)",https://liangfgithub.github.io/MovieImages/1148.jpg
5,Chicken Run (2000),https://liangfgithub.github.io/MovieImages/3751.jpg
6,Aladdin (1992),https://liangfgithub.github.io/MovieImages/588.jpg
7,"Close Shave, A (1995)",https://liangfgithub.github.io/MovieImages/745.jpg
8,"South Park: Bigger, Longer and Uncut (1999)",https://liangfgithub.github.io/MovieImages/2700.jpg
9,"Lion King, The (1994)",https://liangfgithub.github.io/MovieImages/364.jpg
