,Title,image_url
0,Alien (1979),https://liangfgithub.github.io/MovieImages/1214.jpg
1,Ghostbusters (1984),https://liangfgithub.github.io/MovieImages/2716.jpg
2,Jaws (1975),https://liangfgithub.github.io/MovieImages/1387.jpg
3,Psycho (1960),https://liangfgithub.github.io/MovieImages/1219.jpg
4,Young Frankenstein (1974),https://liangfgithub.github.io/MovieImages/1278.jpg
5,"Shining, The (1980)",https://liangfgithub.github.io/MovieImages/1258.jpg
6,"Baby, The (1973)",https://liangfgithub.github.io/MovieImages/3280.jpg
7,"Exorcist, The (1973)",https://liangfgithub.github.io/MovieImages/1997.jpg
8,Army of Darkness (1993),https://liangfgithub.github.io/MovieImages/1215.jpg
9,Misery (1990),https://liangfgithub.github.io/MovieImages/3499.jpg
