,Title,image_url
0,"Wizard of Oz, The (1939)",https://liangfgithub.github.io/MovieImages/919.jpg
1,"Blues Brothers, The (1980)",https://liangfgithub.github.io/MovieImages/1220.jpg
2,This Is Spinal Tap (1984),https://liangfgithub.github.io/MovieImages/1288.jpg
3,Aladdin (1992),https://liangfgithub.github.io/MovieImages/588.jpg
4,"Lion King, The (1994)",https://liangfgithub.github.io/MovieImages/364.jpg
5,Singin' in the Rain (1952),https://liangfgithub.github.io/MovieImages/899.jpg
6,Beauty and the Beast (1991),https://liangfgithub.github.io/MovieImages/595.jpg
7,Mary Poppins (1964),https://liangfgithub.github.io/MovieImages/1028.jpg
8,Fantasia (1940),https://liangfgithub.github.io/MovieImages/1282.jpg
9,"Little Mermaid, The (1989)",https://liangfgithub.github.io/MovieImages/2081.jpg
