,Title,image_url
0,Star Wars: Episode VI - Return of the Jedi (1983),https://liangfgithub.github.io/MovieImages/1210.jpg
1,"Princess Bride, The (1987)",https://liangfgithub.github.io/MovieImages/1197.jpg
2,Shakespeare in Love (1998),https://liangfgithub.github.io/MovieImages/2396.jpg
3,Forrest Gump (1994),https://liangfgithub.github.io/MovieImages/356.jpg
4,Groundhog Day (1993),https://liangfgithub.github.io/MovieImages/1265.jpg
5,Casablanca (1942),https://liangfgithub.github.io/MovieImages/912.jpg
6,When Harry Met Sally... (1989),https://liangfgithub.github.io/MovieImages/1307.jpg
7,"Graduate, The (1967)",https://liangfgithub.github.io/MovieImages/1247.jpg
8,Annie Hall (1977),https://liangfgithub.github.io/MovieImages/1230.jpg
9,Speed (1994),https://liangfgithub.github.io/MovieImages/377.jpg
