,Title,image_url
0,Star Wars: Episode V - The Empire Strikes Back (1980),https://liangfgithub.github.io/MovieImages/1196.jpg
1,Saving Private Ryan (1998),https://liangfgithub.github.io/MovieImages/2028.jpg
2,Star Wars: Episode VI - Return of the Jedi (1983),https://liangfgithub.github.io/MovieImages/1210.jpg
3,Schindler's List (1993),https://liangfgithub.github.io/MovieImages/527.jpg
4,Braveheart (1995),https://liangfgithub.github.io/MovieImages/110.jpg
5,Forrest Gump (1994),https://liangfgithub.github.io/MovieImages/356.jpg
6,Casablanca (1942),https://liangfgithub.github.io/MovieImages/912.jpg
7,Aliens (1986),https://liangfgithub.github.io/MovieImages/1200.jpg
8,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),https://liangfgithub.github.io/MovieImages/750.jpg
9,Apocalypse Now (1979),https://liangfgithub.github.io/MovieImages/1208.jpg
