,Title,image_url
0,Butch Cassidy and the Sundance Kid (1969),https://liangfgithub.github.io/MovieImages/1304.jpg
1,Dances with Wolves (1990),https://liangfgithub.github.io/MovieImages/590.jpg
2,Blazing Saddles (1974),https://liangfgithub.github.io/MovieImages/3671.jpg
3,Unforgiven (1992),https://liangfgithub.github.io/MovieImages/1266.jpg
4,"Good, The Bad and The Ugly, The (1966)",https://liangfgithub.github.io/MovieImages/1201.jpg
5,One Little Indian (1973),https://liangfgithub.github.io/MovieImages/3607.jpg
6,Little Big Man (1970),https://liangfgithub.github.io/MovieImages/3037.jpg
7,Yojimbo (1961),https://liangfgithub.github.io/MovieImages/3030.jpg
8,High Noon (1952),https://liangfgithub.github.io/MovieImages/1283.jpg
9,"Fistful of Dollars, A (1964)",https://liangfgithub.github.io/MovieImages/2951.jpg
