,MovieID,Title,Genres,image_url
7,m8,Tom and Huck (1995),Adventure|Children's,https://liangfgithub.github.io/MovieImages/8.jpg
36,m37,Across the Sea of Time (1995),Documentary,https://liangfgithub.github.io/MovieImages/37.jpg
37,m38,It Takes Two (1995),Comedy,https://liangfgithub.github.io/MovieImages/38.jpg
39,m40,"Cry, the Beloved Country (1995)",Drama,https://liangfgithub.github.io/MovieImages/40.jpg
48,m49,When Night Is Falling (1995),Drama|Romance,https://liangfgithub.github.io/MovieImages/49.jpg
53,m54,"Big Green, The (1995)",Children's|Comedy,https://liangfgithub.github.io/MovieImages/54.jpg
58,m59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,https://liangfgithub.github.io/MovieImages/59.jpg
63,m64,Two if by Sea (1996),Comedy|Romance,https://liangfgithub.github.io/MovieImages/64.jpg
67,m68,French Twist (Gazon maudit) (1995),Comedy|Romance,https://liangfgithub.github.io/MovieImages/68.jpg
74,m75,Big Bully (1996),Comedy|Drama,https://liangfgithub.github.io/MovieImages/75.jpg
76,m77,Nico Icon (1995),Documentary,https://liangfgithub.github.io/MovieImages/77.jpg
77,m78,"Crossing Guard, The (1995)",Drama,https://liangfgithub.github.io/MovieImages/78.jpg
79,m80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,https://liangfgithub.github.io/MovieImages/80.jpg
82,m83,Once Upon a Time... When We Were Colored (1995),Drama,https://liangfgithub.github.io/MovieImages/83.jpg
83,m84,Last Summer in the Hamptons (1995),Comedy|Drama,https://liangfgithub.github.io/MovieImages/84.jpg
89,m90,"Journey of August King, The (1995)",Drama,https://liangfgithub.github.io/MovieImages/90.jpg
94,m96,In the Bleak Midwinter (1995),Comedy,https://liangfgithub.github.io/MovieImages/96.jpg
95,m97,"Hate (Haine, La) (1995)",Drama,https://liangfgithub.github.io/MovieImages/97.jpg
96,m98,Shopping (1994),Action|Thriller,https://liangfgithub.github.io/MovieImages/98.jpg
97,m99,Heidi Fleiss: Hollywood Madam (1995),Documentary,https://liangfgithub.github.io/MovieImages/99.jpg
100,m102,Mr. Wrong (1996),Comedy,https://liangfgithub.github.io/MovieImages/102.jpg
104,m106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,https://liangfgithub.github.io/MovieImages/106.jpg
106,m108,Catwalk (1995),Documentary,https://liangfgithub.github.io/MovieImages/108.jpg
112,m114,Margaret's Museum (1995),Drama,https://liangfgithub.github.io/MovieImages/114.jpg
114,m116,Anne Frank Remembered (1995),Documentary,https://liangfgithub.github.io/MovieImages/116.jpg
117,m119,"Steal Big, Steal Little (1995)",Comedy,https://liangfgithub.github.io/MovieImages/119.jpg
119,m121,"Boys of St. Vincent, The (1993)",Drama,https://liangfgithub.github.io/MovieImages/121.jpg
122,m124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,https://liangfgithub.github.io/MovieImages/124.jpg
126,m128,Jupiter's Wife (1994),Documentary,https://liangfgithub.github.io/MovieImages/128.jpg
127,m129,Pie in the Sky (1995),Comedy|Romance,https://liangfgithub.github.io/MovieImages/129.jpg
129,m131,Frankie Starlight (1995),Drama|Romance,https://liangfgithub.github.io/MovieImages/131.jpg
134,m136,From the Journals of Jean Seberg (1995),Documentary,https://liangfgithub.github.io/MovieImages/136.jpg
135,m137,Man of the Year (1995),Documentary,https://liangfgithub.github.io/MovieImages/137.jpg
144,m146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,https://liangfgithub.github.io/MovieImages/146.jpg
146,m148,"Awfully Big Adventure, An (1995)",Drama,https://liangfgithub.github.io/MovieImages/148.jpg
147,m149,Amateur (1994),Crime|Drama|Thriller,https://liangfgithub.github.io/MovieImages/149.jpg
165,m167,Feast of July (1995),Drama,https://liangfgithub.github.io/MovieImages/167.jpg
176,m178,Love & Human Remains (1993),Comedy,https://liangfgithub.github.io/MovieImages/178.jpg
177,m179,Mad Love (1995),Drama|Romance,https://liangfgithub.github.io/MovieImages/179.jpg
180,m182,Moonlight and Valentino (1995),Drama|Romance,https://liangfgithub.github.io/MovieImages/182.jpg
181,m183,Mute Witness (1994),Thriller,https://liangfgithub.github.io/MovieImages/183.jpg
187,m189,Reckless (1995),Comedy,https://liangfgithub.github.io/MovieImages/189.jpg
195,m197,"Stars Fell on Henrietta, The (1995)",Drama,https://liangfgithub.github.io/MovieImages/197.jpg
198,m200,"Tie That Binds, The (1995)",Thriller,https://liangfgithub.github.io/MovieImages/200.jpg
199,m201,Three Wishes (1995),Drama,https://liangfgithub.github.io/MovieImages/201.jpg
200,m202,Total Eclipse (1995),Drama|Romance,https://liangfgithub.github.io/MovieImages/202.jpg
207,m209,White Man's Burden (1995),Drama,https://liangfgithub.github.io/MovieImages/209.jpg
208,m210,Wild Bill (1995),Western,https://liangfgithub.github.io/MovieImages/210.jpg
